timestamp,container_name,cpu_percent,memory_used_mib,network_rx,network_tx,resource_count
2026-09-22T23:03:29.714457,cloud-app-1,0.02,21.68,3kB,1.86kB,2
2026-09-22T23:03:29.714457,cloud-app,0.01,23.06,3.43MB,3.22MB,2
2026-09-22T23:03:36.291522,cloud-app-1,0.02,21.68,3kB,1.86kB,2
2026-09-22T23:03:36.291522,cloud-app,0.02,23.06,3.43MB,3.22MB,2
2026-09-22T23:03:43.406294,cloud-app-1,0.02,21.68,3kB,1.86kB,2
2026-09-22T23:03:43.406294,cloud-app,0.01,23.06,3.43MB,3.22MB,2
2026-09-22T23:03:50.534971,cloud-app-1,0.03,21.68,3kB,1.86kB,2
2026-09-22T23:03:50.534971,cloud-app,0.03,23.06,3.43MB,3.22MB,2
2026-09-22T23:03:57.322413,cloud-app-1,0.02,21.68,3kB,1.86kB,2
2026-09-22T23:03:57.322413,cloud-app,0.02,23.06,3.43MB,3.22MB,2
2026-09-22T23:04:03.415729,cloud-app-1,0.02,21.68,3kB,1.86kB,2
2026-09-22T23:04:03.415729,cloud-app,0.02,23.06,3.43MB,3.22MB,2
2026-09-22T23:04:09.520288,cloud-app-1,0.03,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:09.520288,cloud-app,14.96,24.08,3.44MB,3.23MB,2
2026-09-22T23:04:16.336685,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:16.336685,cloud-app,13.3,24.05,3.44MB,3.23MB,2
2026-09-22T23:04:23.456601,cloud-app-1,0.04,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:23.456601,cloud-app,14.64,23.75,3.45MB,3.24MB,2
2026-09-22T23:04:30.569909,cloud-app-1,0.03,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:30.569909,cloud-app,15.55,23.69,3.46MB,3.25MB,2
2026-09-22T23:04:37.391226,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:37.391226,cloud-app,16.2,23.62,3.47MB,3.26MB,2
2026-09-22T23:04:44.489696,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:44.489696,cloud-app,15.48,23.38,3.48MB,3.26MB,2
2026-09-22T23:04:51.637253,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:51.637253,cloud-app,14.88,24.16,3.49MB,3.27MB,2
2026-09-22T23:04:58.427843,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:04:58.427843,cloud-app,15.66,23.66,3.5MB,3.28MB,2
2026-09-22T23:05:05.643069,cloud-app-1,0.01,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:05.643069,cloud-app,38.14,24.42,3.51MB,3.29MB,2
2026-09-22T23:05:11.764052,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:11.764052,cloud-app,39.36,24.24,3.53MB,3.31MB,2
2026-09-22T23:05:18.396134,cloud-app-1,0.02,21.68,3.07kB,1.86kB,2
2026-09-22T23:05:18.396134,cloud-app,37.13,23.88,3.55MB,3.33MB,2
