timestamp,cpu,memory,request_rate,network,latency,resource_count
2026-01-01 00:00:00,30.4,45.27,40.0,2.9,21.75,2
2026-01-01 00:01:00,30.76,41.29,42.88,3.62,20.58,2
2026-01-01 00:02:00,31.72,41.86,42.36,3.44,21.48,2
2026-01-01 00:03:00,31.1,44.67,45.81,5.72,19.13,2
2026-01-01 00:04:00,29.0,46.07,53.36,2.92,18.11,2
2026-01-01 00:05:00,30.06,40.03,51.52,3.24,20.57,2
2026-01-01 00:06:00,29.05,44.17,49.83,5.79,19.75,2
2026-01-01 00:07:00,29.1,44.13,57.34,3.98,21.18,2
2026-01-01 00:08:00,31.01,48.63,60.19,6.47,20.46,2
2026-01-01 00:09:00,32.98,45.77,56.63,7.36,21.24,2
2026-01-01 00:10:00,32.56,47.16,58.41,4.36,18.42,2
2026-01-01 00:11:00,32.48,46.65,55.02,5.7,23.68,2
2026-01-01 00:12:00,34.29,42.74,51.89,2.68,20.93,2
2026-01-01 00:13:00,33.33,48.2,52.55,5.6,22.05,2
2026-01-01 00:14:00,35.53,47.87,42.38,3.9,20.14,2
2026-01-01 00:15:00,33.32,47.68,33.96,3.6,21.46,2
2026-01-01 00:16:00,28.26,52.74,32.03,1.75,18.13,2
2026-01-01 00:17:00,28.46,40.79,28.01,1.0,20.8,2
2026-01-01 00:18:00,28.24,48.33,30.94,3.38,19.55,2
2026-01-01 00:19:00,29.22,44.65,27.52,1.0,20.3,2
2026-01-01 00:20:00,28.53,45.56,21.86,1.38,21.18,2
2026-01-01 00:21:00,27.51,44.54,31.04,4.05,18.1,2
2026-01-01 00:22:00,25.22,42.98,31.03,2.93,18.51,2
2026-01-01 00:23:00,25.35,42.73,32.48,5.68,20.25,2
2026-01-01 00:24:00,24.05,44.08,26.36,3.78,22.48,2
2026-01-01 00:25:00,23.52,40.2,25.13,1.16,19.03,2
2026-01-01 00:26:00,25.08,45.28,27.27,2.36,20.4,2
2026-01-01 00:27:00,27.41,43.76,22.94,1.88,19.77,2
2026-01-01 00:28:00,27.27,42.28,26.58,1.0,22.82,2
2026-01-01 00:29:00,24.69,42.74,25.05,1.0,16.82,2
2026-01-01 00:30:00,25.48,46.43,25.19,1.3,19.73,2
2026-01-01 00:31:00,27.02,43.39,23.76,1.0,17.42,2
2026-01-01 00:32:00,26.08,44.84,34.72,3.02,15.93,2
2026-01-01 00:33:00,26.23,42.72,35.48,2.64,20.17,2
2026-01-01 00:34:00,26.24,45.7,30.95,1.0,19.93,2
2026-01-01 00:35:00,25.41,45.27,36.19,3.68,19.15,2
2026-01-01 00:36:00,26.65,48.02,30.79,3.69,19.64,2
2026-01-01 00:37:00,26.45,43.91,32.97,3.14,24.41,2
2026-01-01 00:38:00,26.51,45.62,24.13,1.57,19.38,2
2026-01-01 00:39:00,24.3,43.7,20.0,2.59,20.14,2
2026-01-01 00:40:00,23.69,45.88,22.21,2.91,18.29,2
2026-01-01 00:41:00,25.43,42.46,27.73,2.82,20.02,2
2026-01-01 00:42:00,25.07,45.26,29.97,1.31,19.15,2
2026-01-01 00:43:00,28.02,44.42,30.59,3.02,19.43,2
2026-01-01 00:44:00,26.73,44.23,30.24,4.36,22.54,2
2026-01-01 00:45:00,26.4,44.42,24.03,1.15,21.52,2
2026-01-01 00:46:00,27.1,44.99,22.11,5.03,20.08,2
2026-01-01 00:47:00,24.0,43.17,21.63,1.05,15.86,2
2026-01-01 00:48:00,21.98,43.12,28.79,2.5,18.41,2
2026-01-01 00:49:00,21.22,45.58,31.8,1.69,22.87,2
2026-01-01 00:50:00,24.37,45.5,24.04,2.38,19.04,2
2026-01-01 00:51:00,23.93,45.11,27.34,1.0,20.96,2
2026-01-01 00:52:00,28.27,43.98,26.83,1.46,22.25,2
2026-01-01 00:53:00,26.27,42.42,24.9,1.0,20.06,2
2026-01-01 00:54:00,26.42,46.16,29.56,2.72,18.49,2
2026-01-01 00:55:00,29.0,46.9,35.95,4.55,16.57,2
2026-01-01 00:56:00,31.76,49.06,41.33,4.48,21.74,2
2026-01-01 00:57:00,33.35,45.47,37.43,1.0,19.78,2
2026-01-01 00:58:00,33.05,46.11,36.49,6.16,21.21,2
2026-01-01 00:59:00,32.73,43.18,38.83,3.74,19.02,2
2026-01-01 01:00:00,32.26,45.51,44.2,2.59,20.41,2
2026-01-01 01:01:00,32.07,48.22,41.87,3.79,20.82,2
2026-01-01 01:02:00,29.9,44.53,41.19,3.77,20.78,2
2026-01-01 01:03:00,27.73,45.98,35.96,2.06,18.32,2
2026-01-01 01:04:00,27.17,44.13,30.71,2.91,21.69,2
2026-01-01 01:05:00,26.92,45.07,35.91,2.14,18.95,2
2026-01-01 01:06:00,26.86,42.1,43.42,3.08,17.32,2
2026-01-01 01:07:00,28.52,45.15,43.19,2.64,19.97,2
2026-01-01 01:08:00,30.36,39.64,48.35,1.96,20.52,2
2026-01-01 01:09:00,30.36,45.25,49.89,4.46,20.71,2
2026-01-01 01:10:00,32.19,43.0,46.27,4.81,22.84,2
2026-01-01 01:11:00,29.57,47.76,47.98,4.85,19.97,2
2026-01-01 01:12:00,29.81,46.99,55.43,5.94,20.19,2
2026-01-01 01:13:00,29.11,46.12,54.42,5.11,18.58,2
2026-01-01 01:14:00,27.43,47.64,61.49,4.43,21.17,2
2026-01-01 01:15:00,28.0,42.9,47.07,5.26,20.32,2
2026-01-01 01:16:00,28.59,48.5,51.01,2.3,19.52,2
2026-01-01 01:17:00,31.42,47.86,50.97,2.98,17.8,2
2026-01-01 01:18:00,31.8,45.66,48.99,2.72,22.89,2
2026-01-01 01:19:00,29.57,47.62,49.13,5.8,18.48,2
2026-01-01 01:20:00,31.72,43.89,38.86,4.72,19.82,2
2026-01-01 01:21:00,32.13,44.6,38.26,3.98,21.32,2
2026-01-01 01:22:00,31.6,44.84,40.58,5.06,18.89,2
2026-01-01 01:23:00,30.58,44.65,48.33,2.79,18.26,2
2026-01-01 01:24:00,28.62,42.9,45.47,4.39,16.97,2
2026-01-01 01:25:00,27.94,47.23,41.39,3.33,21.11,2
2026-01-01 01:26:00,29.54,44.82,39.17,4.6,19.5,2
2026-01-01 01:27:00,32.12,46.95,44.21,3.59,25.17,2
2026-01-01 01:28:00,33.41,45.55,45.92,3.33,19.52,2
2026-01-01 01:29:00,31.01,42.21,43.2,4.48,19.2,2
2026-01-01 01:30:00,28.69,45.58,45.91,5.22,19.32,2
2026-01-01 01:31:00,29.1,41.36,46.32,2.93,20.6,2
2026-01-01 01:32:00,26.84,44.26,51.06,4.25,19.13,2
2026-01-01 01:33:00,28.22,42.14,47.06,2.41,21.0,2
2026-01-01 01:34:00,28.29,48.88,45.26,1.0,18.62,2
2026-01-01 01:35:00,27.72,46.52,43.28,3.98,17.92,2
2026-01-01 01:36:00,25.15,44.01,36.1,3.98,16.83,2
2026-01-01 01:37:00,26.8,46.91,38.29,3.65,16.49,2
2026-01-01 01:38:00,26.43,42.56,40.13,1.0,18.98,2
2026-01-01 01:39:00,25.26,44.93,40.55,2.92,19.1,2
2026-01-01 01:40:00,21.89,43.06,39.73,1.0,17.99,2
2026-01-01 01:41:00,23.51,43.75,33.08,4.87,21.1,2
2026-01-01 01:42:00,27.17,47.05,31.93,1.08,21.73,2
2026-01-01 01:43:00,29.34,46.73,31.26,4.54,19.78,2
2026-01-01 01:44:00,27.37,45.16,28.35,3.83,17.24,2
2026-01-01 01:45:00,25.91,40.76,28.87,1.1,18.81,2
2026-01-01 01:46:00,26.8,42.46,32.18,1.04,18.92,2
2026-01-01 01:47:00,25.9,43.82,42.64,4.15,18.68,2
2026-01-01 01:48:00,27.35,44.76,43.7,2.45,18.88,2
2026-01-01 01:49:00,29.08,42.92,45.09,3.99,19.25,2
2026-01-01 01:50:00,30.87,50.63,44.71,3.08,19.98,2
2026-01-01 01:51:00,29.38,48.32,35.14,1.0,19.33,2
2026-01-01 01:52:00,28.3,46.11,35.8,1.0,20.41,2
2026-01-01 01:53:00,26.65,44.47,36.84,3.47,20.34,2
2026-01-01 01:54:00,26.57,43.88,49.8,3.39,18.42,2
2026-01-01 01:55:00,27.32,42.66,48.46,3.29,21.82,2
2026-01-01 01:56:00,28.79,45.23,49.69,5.27,18.71,2
2026-01-01 01:57:00,30.52,46.2,49.14,5.94,18.07,2
2026-01-01 01:58:00,28.64,42.54,42.97,3.24,20.73,2
2026-01-01 01:59:00,31.28,46.61,48.84,3.64,19.4,2
2026-01-01 02:00:00,30.58,45.39,52.3,5.2,20.99,2
2026-01-01 02:01:00,30.74,41.94,55.67,2.7,16.93,2
2026-01-01 02:02:00,29.38,43.56,50.27,4.61,22.38,2
2026-01-01 02:03:00,26.44,43.43,56.86,5.66,20.77,2
2026-01-01 02:04:00,28.94,48.9,48.9,5.18,17.96,2
2026-01-01 02:05:00,30.52,46.8,51.52,1.47,18.28,2
2026-01-01 02:06:00,30.75,43.09,61.95,4.12,23.04,2
2026-01-01 02:07:00,30.99,46.82,55.64,3.41,19.47,2
2026-01-01 02:08:00,31.55,42.95,51.96,4.57,19.43,2
2026-01-01 02:09:00,28.8,47.24,51.9,5.13,16.78,2
2026-01-01 02:10:00,28.34,43.98,48.83,6.4,19.58,2
2026-01-01 02:11:00,29.47,45.13,40.77,2.72,19.96,2
2026-01-01 02:12:00,27.18,47.16,41.45,2.78,20.96,2
2026-01-01 02:13:00,27.65,42.1,36.43,4.82,17.88,2
2026-01-01 02:14:00,25.7,41.2,39.48,3.8,17.35,2
