feature,importance
request_rate,0.6954449588465746
network,0.18349270927263756
request_rolling_mean_3,0.047308591168042556
request_lag_1,0.023215731468388415
request_change,0.014743539197433483
cpu_change,0.012996401330450102
cpu,0.0056404446028287675
request_lag_2,0.0029412382585368973
cpu_lag_3,0.002629028973559192
latency,0.0023826150122538956
request_lag_3,0.002318735332171253
cpu_lag_2,0.0018859715903759935
cpu_rolling_mean_3,0.001857233060741771
memory,0.0016883041641866275
cpu_lag_1,0.001445565412332785
resource_count,8.932309486068534e-06
